! _polyline
15.5,0,0
14.9239,3.9988,0.125
13.3373,7.7003,0.25
10.8548,10.8548,0.375
7.6506,13.2513,0.5
3.9474,14.7319,0.625
0,15.2019,0.75
-3.9217,14.6359,0.875
-7.5513,13.0792,1
-10.644,10.644,1.125
-12.9932,7.5016,1.25
-14.444,3.8703,1.375
-14.9038,-0,1.5
-14.348,-3.8445,1.625
-12.8211,-7.4022,1.75
-10.4332,-10.4332,1.875
-7.3526,-12.735,2
-3.7931,-14.1561,2.125
-0,-14.6058,2.25
3.7674,-14.0601,2.375
7.2532,-12.5629,2.5
10.2225,-10.2225,2.625
12.4769,-7.2035,2.75
13.8682,-3.716,2.875
14.3077,0,3
13.7722,3.6902,3.125
12.3048,7.1042,3.25
10.0117,10.0117,3.375
7.0545,12.2187,3.5
3.6388,13.5802,3.625
0,14.0096,3.75
-3.6131,13.4843,3.875
-6.9551,12.0466,4
-9.8009,9.8009,4.125
-11.9606,6.9054,4.25
-13.2923,3.5617,4.375
-13.7115,-0,4.5
-13.1963,-3.5359,4.625
-11.7885,-6.8061,4.75
-9.5901,-9.5901,4.875
-6.7564,-11.7024,5
-3.4845,-13.0044,5.125
-0,-13.4135,5.25
3.4588,-12.9084,5.375
6.6571,-11.5304,5.5
9.3794,-9.3794,5.625
11.4443,-6.6074,5.75
12.7165,-3.4074,5.875
13.1154,0,6
12.6205,3.3817,6.125
11.2722,6.508,6.25
9.1686,9.1686,6.375
6.4583,11.1862,6.5
3.3302,12.4286,6.625
0,12.8173,6.75
-3.3045,12.3326,6.875
-6.359,11.0141,7
-8.9578,8.9578,7.125
-10.928,6.3093,7.25
-12.1406,3.2531,7.375
-12.5192,-0,7.5
-12.0447,-3.2274,7.625
-10.7559,-6.2099,7.75
-8.747,-8.747,7.875
-6.1603,-10.6699,8
-3.1759,-11.8527,8.125
-0,-12.2212,8.25
3.1502,-11.7567,8.375
6.0609,-10.4978,8.5
8.5363,-8.5363,8.625
10.4117,-6.0112,8.75
11.5648,-3.0988,8.875
11.9231,0,9
11.4688,3.0731,9.125
10.2396,5.9119,9.25
8.3255,8.3255,9.375
5.8622,10.1536,9.5
3.0216,11.2769,9.625
0,11.625,9.75
-2.9959,11.1809,9.875
-5.7628,9.9815,10
